1,US,PARC PARQUE,704,PR,STANDARD,NOT ACCEPTABLE
2,US,PASEO COSTA DEL SUR,704,PR,STANDARD,NOT ACCEPTABLE
10,US,BDA SAN LUIS,709,PR,STANDARD,NOT ACCEPTABLE
61391,US,CINGULAR WIRELESS,76166,TX,UNIQUE,NOT ACCEPTABLE
61392,US,FORT WORTH,76177,TX,STANDARD,PRIMARY
61393,US,FT WORTH,76177,TX,STANDARD,ACCEPTABLE
4,US,URB EUGENE RICE,704,PR,STANDARD,NOT ACCEPTABLE
39827,US,MESA,85209,AZ,STANDARD,PRIMARY
39828,US,MESA,85210,AZ,STANDARD,PRIMARY
49345,US,HILLIARD,32046,FL,STANDARD,PRIMARY
49346,US,HOLDER,34445,FL,PO BOX,PRIMARY
49347,US,HOLT,32564,FL,STANDARD,PRIMARY
49348,US,HOMOSASSA,34487,FL,PO BOX,PRIMARY
3,US,SECT LANAUSSE,704,PR,STANDARD,NOT ACCEPTABLE
54354,US,SPRING GARDEN,36275,AL,PO BOX,PRIMARY
54355,US,SPRINGVILLE,35146,AL,STANDARD,PRIMARY
54356,US,SPRUCE PINE,35585,AL,STANDARD,PRIMARY
76511,US,ASH HILL,27007,NC,STANDARD,NOT ACCEPTABLE
76512,US,ASHEBORO,27203,NC,STANDARD,PRIMARY
76513,US,ASHEBORO,27204,NC,PO BOX,PRIMARY